created_at,text
2018-11-17 16:00:57,More Than $350 Million Committed to Family Planning Efforts in #Africa https://t.co/c2y5gvRTNx @pndblog
2018-11-16 20:55:06,"Nearly 4,000 foundations are investing in racial equity. Where is that funding going? Explore our racial equity dashboard to find out: https://t.co/GSn42Rk5pg #racialequity #ToleranceDay https://t.co/3wqzcROZvH"
2018-11-16 17:50:04,We've been tracking trends in human rights funding with @hrfunders since 2010 | Here's what we've learned: https://t.co/ZiyUWX6Gak #advancinghumanrights #ToleranceDay https://t.co/9zFvp7v9nR
2018-11-16 16:32:09,We're very excited to continue our partnership and to officially join the @unitedphilforum community! https://t.co/329pS9POxS
2018-11-16 16:15:07,"Read how an open #data approach, inspired by @macfound's #100andChange competition, could transform grantmaking in this article by our president, Brad Smith, in @SSIReview: https://t.co/onEmnNaPoC #philanthropy https://t.co/UTucXwY4Vo"
2018-11-16 15:40:07,"Improve your #disasterphilanthropy by exploring data on when, where, and how much to give: https://t.co/FzF7pPT39E #SODP2018 #datadriven @funds4disaster https://t.co/n5qwasYHeQ"
2018-11-15 20:20:05,"RT @GivingCompass: ""Put in the discipline, put in the passion, and focus in a way that really is going to make a difference for people."" @jeffraikes on what it means to Give Smart, via @BridgespanGroup: https://t.co/H2iY2r6rS9 https://t.co/NsjPryXntm"
2018-11-15 18:25:07,Participatory grantmaking is “an idea that cuts deeply against longstanding power dynamics in #philanthropy” Learn more in @InsidePhilanthr’s latest:  https://t.co/zYJagemEEt #ShiftThePower @GrantCraft @DisabRightsFund @redumbrellafund @Cingib
2018-11-15 15:58:26,"Can the grantmaking process be transformed to focus the field on generating and sharing knowledge, rather than simply getting and giving grants? We think so! More from our president, Brad Smith, here: https://t.co/onEmnNaPoC @SSIReview #philanthropy #nonprofits"
2018-11-15 13:05:07,"Steward your #board to ensure optimal performance! In our 12/13 webinar, you'll be provided w/ management tools that can be used to keep board members accountable &amp; committed. Register today! https://t.co/MhFQtdsjgx #FCLearn @GrantSpace @GMesrob @SupportCenterNY @SC_Partnerships https://t.co/W1BGoUo0Gr"
2018-11-14 17:02:09,"Better engage, grow, &amp; cultivate your donors with our fall bundle -- now 30% off! Inform yourself of best practices in designing &amp; launching a mid-level donor retention program, a major gifts program, &amp; a donor club! Enroll now: https://t.co/pCXYHZK3GH @GrantSpace #FCLearn https://t.co/gF3JhCAaQ0"
2018-11-14 16:01:23,"Crystal Mandler, Director of Business Insights, is this week’s #wcw! Crystal leads our Business Systems &amp; Business Intelligence initiatives. She also directed our GDPR compliance roadmap at the #FutureofPhilanthropy conference, which you can watch here: https://t.co/vEbFCTTTJW https://t.co/XHaidFDFuR"
2018-11-14 14:01:39,"Last chance! Join tomorrow's webinar to learn how to identify and cultivate effective relationships with U.S. #foundations for larger donations! Even if you can't make the webinar live, you'll get a recording after! https://t.co/NjlvbUfe4k #FCLearn @GrantSpace @LizNgonzi @nyucga https://t.co/S00TJEbOg3"
2018-11-14 08:10:09,2.3 billion people still lack access to basic sanitation services. How can #philanthropy help to change this statistic? @WASHfunders is a great place to start: https://t.co/K28aYJKnnZ @ingaingulfsen @GivingCompass https://t.co/wQdUiGSvsy
2018-11-13 21:05:06,Help others working in the #socialsector make a bigger impact in the communities they serve! Become a #FCFIN partner today! Learn more: https://t.co/s2ZRedtIb0 #WorldKindnessDay https://t.co/pSaUCe2TSo
2018-11-13 18:25:05,"DYK 57% of funding for #ClimateAction goes to clean energy efforts, but only 3% goes to agriculture? Learn more about current trends in U.S. foundation support for climate action in this @pndblog series: https://t.co/0BkckTrBfJ #philanthropy https://t.co/Vank5dFOXW"
2018-11-13 16:25:06,Join us &amp; @funds4disaster for a free webinar TOMORROW to explore key #disasterphilanthropy data and learn how to strategically respond to disasters. Register: https://t.co/5pJLWPtvVc #SODP2018 #datadriven https://t.co/7ccwIrGmAH
2018-11-13 13:01:26,"As a thank you for your support &amp; social sector service, we’re offering a special 30% off our Donor Cultivation bundle! Only $99 for 3 courses worth 4.5 CFRE pts -- revamp your EOY #fundraising, &amp; enroll today! https://t.co/pCXYHZK3GH @GrantSpace #FCLearn #WorldKindnessDay https://t.co/rAGamrcMyx"
2018-11-12 19:56:15,Leverage your digital presence to garner support from grantmaking foundations! Learn how you can effectively engage the #US #philanthropic market during this week's webinar: https://t.co/NjlvbUfe4k A recording will be sent after the event! #FCLearn @GrantSpace @LizNgonzi @nyucga https://t.co/jymAAh9cAA
2018-11-12 18:15:12,Searching for grants? Check out the latest #RFP list on PND https://t.co/ImT39Ud7Uz #nonprofit
2018-11-11 18:05:05,Join us &amp; @funds4disaster for a free webinar on Nov. 14 to explore key #disasterphilanthropy data and learn how to strategically respond to disasters. Register: https://t.co/5pJLWPtvVc #SODP2018 #datadriven https://t.co/mYOZrGXxvp
2018-11-11 15:40:06,Job hunting? Check out the listings on PND's job board! https://t.co/cSG4lTjUOf #nonprofit #foundation #jobs
2018-11-10 20:00:56,WEBINAR: Learn how to develop &amp; use board assessment tools to improve your board's effectiveness. Join us 12/13 to build a high-performing #nonprofit board! Early-bird price through 12/6: https://t.co/MhFQtdsjgx #FCLearn @GrantSpace @GMesrob @SupportCenterNY @SC_Partnerships https://t.co/xbajJHP473
2018-11-10 15:10:04,"ICYMI More Than $1 Billion Pledged for #Health, Nutrition of Women, Children https://t.co/rUHZzFiv2u  @gatesfoundation @UN #globalhealth #philanthropy"
2018-11-09 20:45:05,Get strategies your international org needs to stand out against 1.5M+ U.S. registered #nonprofits &amp; NGOs seeking to enter the U.S.! Join next Thursday's 11/15 webinar w/ @LizNgonzi! https://t.co/NjlvbUfe4k You'll also get a recording after! #FCLearn @GrantSpace @nyucga https://t.co/LPYqsgKApc
2018-11-09 18:35:06,What's new at @fdncenter? Lots! Check out all of our new resources and exciting upcoming events here: https://t.co/lEYXtqwfN4 #philanthropy #nonprofits https://t.co/Lx2pEtOrnF
2018-11-09 16:05:08,A free press is not free. Learn about #philanthropy’s current investment in the #news media and the gaps that exist: https://t.co/BCHoOW7Jdr @Glasspockets @ShorensteinCtr @NUjournalism https://t.co/rLkLhegPeK
2018-11-09 15:10:07,"Meet Flavia, our talented executive assistant in the office of the president at Foundation Center. Fun fact about Flavia: She went on a safari in Tanzania last year so she could realize her childhood dream of seeing the kingdom of ""The Lion King""! ??? #FCstaff #nonprofitlife https://t.co/TkQROdkWA1"
2018-11-08 20:50:07,RT @nff_news: What tops the list of #nonprofit staffing challenges? Offering competitive pay and employing enough hands to do the work. #NFFSurvey https://t.co/lKai4N9VmW https://t.co/dzTWQM9uut
2018-11-08 18:30:31,#TBT to our international #nonprofit operations @FCWashington event with @FaegreBD's @CGarberSiegrist! https://t.co/UrzYn97ETe
