created_at,text,year
2018-09-26 22:05:29,"Great work by @MNAonline, partnering with @uscensusbureau and others, to promote a full, accurate, and complete count for #2020Census https://t.co/gnknq6rYyU via @Local4News https://t.co/gXbbyzmmM4",2018
2018-09-26 15:39:00,Wise counsel from @COSecofState for anyone donating to assist in the recovery from #HurricaneFlorence: https://t.co/wevP5EUwjV via @JournalAdvocate @CONonprofits,2018
2018-09-25 18:08:33,"Thousands of events are being hosted today to help people register to vote, many are being hosted by #nonprofits. Find an event near you: https://t.co/XdXHleROHM  #NationalVoterRegistrationDay https://t.co/89M8UpGKu8",2018
2018-09-25 15:38:39,"Today is #NationalVoterRegistrationDay! Are you registered? Have you asked your parents, your siblings, your friends, your co-workers if they are registered? If not, do it now!  Register now at https://t.co/9kGPFiN0SN https://t.co/fZSuMIipco",2018
2018-09-24 15:29:00,#NationalVoterRegistrationDay is tomorrow! Be sure you are registered - and remind everyone you know! Are you ready? Find an Event near you (or host one!) at https://t.co/Ser80GjJz0 @NatlVoterRegDay https://t.co/AYXOHb3YW2,2018
2018-09-17 18:07:00,Today's Advocacy in Action story highlights how #nonprofits can look at advocacy differently. H/T to our member @CenterNonprof https://t.co/kVnAUbwCoq https://t.co/cZhOtwDFnM,2018
2018-09-17 16:45:00,"And the #1 quote in our #JohnsonAmendment countdown: ""When you combine religion and politics, the result is politics"" from Retired Paster W.B. Moorer of Tulsa, Oklahoma #CommunityNotCandidates

Take action to protect the #JohnsonAmendment https://t.co/Oasrz3dKqc https://t.co/k8GoFilaYg",2018
2018-09-17 16:22:57,"Today's #Nonprofit Advocacy Matters reveals the top #JohnsonAmendment quote and covers recent charitable and political donor disclosure issues, state revenues, taxes in PA, CA, and NE, #taxreform2.0,  and some new stats on giving https://t.co/iwvWEc7SWQ https://t.co/cg9Zrmx7VA",2018
2018-09-17 15:02:30,"Only 8 days to go until #NationalVoterRegistrationDay. Are you registered? If you have moved, have you updated your registration? Is your #nonprofit helping others to get registered? Find an event near you: https://t.co/XdXHleROHM @NatlVoterRegDay https://t.co/9DpeGAzxsD",2018
2018-09-17 12:51:06,"As we get ready to reveal the top #JohnsonAmendment quote later today, first a recap of #10 - #1:",2018
2018-09-14 21:12:55,"What's the #1 #JohnsonAmendment quote from the last year? Tune in Monday! Readers of #Nonprofit Advocacy Matters will find out first. Not subscribed? Visit https://t.co/WjhAYZH4Wf to sign up for updates on federal, state, and local public policy issues affecting nonprofits. https://t.co/LcIJKGNYpu",2018
2018-09-14 18:10:00,"Up to #2 on our countdown of the top #JohnsonAmendment quotes. This one comes from the editorial board of the @KCStar:  “The First Amendment guarantees free speech, not tax-free speech.” https://t.co/mFmhqDAATm #CommunityNotCandidates https://t.co/AhgtRehIes",2018
2018-09-14 15:13:00,"#3 on our countdown of the top ten #JohnsonAmendment quotes: ""Politicizing churches is not a solution to a problem – it is a problem in search of a problem.” from @AmandaTylerBJC of @BJContheHill in @RNS “Politicize our charities and churches? No, thanks,” https://t.co/bk3rZ4q9wX https://t.co/fMCPxOro0x",2018
2018-09-13 19:08:00,Nice infographic from @classy and @GuideStarUSA on why it pays to retain a #nonprofit's #GivingTuesday donors https://t.co/0M3urhUcmq https://t.co/WLk2TisiJ2,2018
2018-09-13 18:08:00,"#JohnsonAmendment quote #4 from @washingtonpost: “Churches, charities and foundations already enjoy the right to advocate for issues. There is no need to ... make them servants of special interests seeking to further warp the nation’s electoral politics.” https://t.co/PYoXTzaeZQ https://t.co/T85oVdISt8",2018
2018-09-13 16:02:20,"New article by Patrick Rooney of @IUPhilanthropy in @npquarterly ""The Growth in Total Household Giving Is Camouflaging a Decline in Giving by Small and Medium Donors: What Can We Do about It?"" https://t.co/RDgNuEpwEb #nonprofit https://t.co/5KS9u7TUBM",2018
2018-09-13 15:41:09,"#JohnsonAmendment quote #5 comes from @RabbiWolpe “You may as well affix an elephant or a donkey instead of a cross on your church, because that is how it will be seen. Preachers that do not endorse will be derided as pusillanimous and lacking conviction.” https://t.co/7fuaup2ylD https://t.co/DQVLc2LJhI",2018
2018-09-13 14:46:00,Wonderful op-ed in @stlouisbiz about the #JohnsonAmendment from CEOs of Gateway Center for Giving and (our member) @NSCnowSTL Tax-deductible partisanship can cause rifts https://t.co/uU2MmqkJ9J https://t.co/7yxbo5Z8KS,2018
2018-09-13 13:06:22,We're looking forward to joining you! https://t.co/1KzkIShtNC,2018
2018-09-12 19:32:00,"From today's #Nonprofit Knowledge Matters: Why board members should have term limits https://t.co/nAPdPghmuh

Read the full issue at https://t.co/WfplEgB6OM https://t.co/8P52KlYewt",2018
2018-09-12 18:42:00,"#JohnsonAmendment quote #6 comes from Sharon Stapel (@npccny_prez) of @npccny: “Imagine only being able to get government funding if you endorsed a winning candidate, instead of having a winning strategy to end hunger.”  https://t.co/L9pWklfgBa @NYN_media #nonprofit https://t.co/FdGJ8qTnk1",2018
2018-09-12 16:19:50,"#JohnsonAmendment Quote #7: ""Religious belief and observance appeal to higher demands and expectations -- those of God -- and should not become just another tool in the hands of political maestros who may or may not have a value system built on loving one’s neighbor as oneself."" https://t.co/pI6WTtxCpi",2018
2018-09-11 18:04:00,"#JohnsonAmendment quote #8 “Churches and #nonprofits are trusted because we are resolutely nonpartisan. Those who support our work rely on us to use their donations to help our communities, not engage in electioneering."" from @janmasaoka  of @CalNonprofits https://t.co/dRv2G4gwR2 https://t.co/A2prZJkwEI",2018
2018-09-11 15:00:00,"#JohnsonAmendment quote #9: “The church must be reminded that it is not the master or the servant of the state, but rather the conscience of the state. It must be the guide and the critic of the state, and never its tool.” quoted in https://t.co/vjuyUtE5sg #CommunityNotCandidates https://t.co/QpMOk5WSzd",2018
2018-09-10 18:00:02,"Counting down the Top 10 #JohnsonAmendment quotes from the past year. #10: ""Two people we should never trust: a religious leader who tells us how to vote and a politician who tells us how to pray."" from https://t.co/857hgs4qrj #CommunityNotCandidates https://t.co/IBicw8DnPp",2018
2018-09-10 16:26:18,Congratulations @mhrywna! https://t.co/akCRgTO3tK,2018
2018-09-05 18:41:00,"Join @ChooseUST and @nonstopwellness for their free webinar, which reveals exclusive ways for #nonprofits to fund their health and unemployment insurance. Sign up today to better understand which solutions can best protect your assets: https://t.co/qIUJB1ITvx https://t.co/whGNsnu6FN",2018
2018-09-04 19:13:38,"Asking What Defenders of Free Speech Think - editorials from @stltoday @NewsTribune and @KCStar demonstrate that #JohnsonAmendment is not an issue of free speech 
https://t.co/rkVcrZFl0s https://t.co/WaDNpKHHSt",2018
2018-09-04 18:14:24,"Excited to announce our new board officers https://t.co/fzWnBUd8RI. New Board Chair Donna Murray-Brown of @MNAonline https://t.co/fylNOdOiMw Vice Chair Marnie Taylor of @OKCNP, Treasurer Doug Sauer of @NYCouncilNPs, and Secretary Kate Rubalcava of @UtahNonprofits https://t.co/yY2HKbylBN",2018
2018-09-04 16:48:42,"Today's #Nonprofit Advocacy Matters includes updates on the #JohnsonAmendment, #SALT workarounds, #Census2020, #NetNeutrality, Wayfair, Public Service Loan Forgiveness, and more. https://t.co/GpspziKPCW https://t.co/MCVivTBFXY",2018
